ISTASYON,PROJE_ADI,HAT_TURU,lat,lon
Göktürk,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.1769563911,28.8836670921
İhsaniye,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.2429601376,28.8089292147
Kemerburgaz,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.1591296952,28.910227377
Kağıthane,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.0801645224,28.9763643256
Rumeli Hisarüstü,F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Füniküler,41.0849124744,29.0461832253
Aşiyan,F4 Rumeli Hisarüstü - Aşiyan Füniküler Hattı,Füniküler,41.0813857171,29.0536539042
Atatürk Mahallesi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.0521039707,28.7987700317
Kaynarca Merkez,"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Metro,40.8790971867,29.2607292243
Pendik,"M10 Pendik - SGH Metro Hattı, Pendik - Fevzi Çakmak Etabı",Metro,40.8807839988,29.231243344
Gayrettepe,M11 Gayrettepe - İstanbul Havalimanı Metro Hattı,Metro,41.0671898751,29.0109068179
Veysel Karani,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,40.9689823866,29.2399332527
Sancaktepe Şehir Hastanesi,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,41.0009067942,29.2175514237
Sultanbeyli,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,40.9660720865,29.2724939011
Hasanpaşa,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,40.9686747563,29.2549242235
Sancaktepe,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,40.9914198992,29.2292423995
Meclis,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,41.0096652612,29.1988611401
Samandıra Merkez,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,Metro,40.983759202,29.2314617555
Kaynarca Merkez,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.8787134664,29.2612487039
Esenyalı,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.8638118705,29.2955767835
Çamçeşme,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.8787899886,29.2735045597
Kavakpınar,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.875958607,29.2847349537
Aydıntepe,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.8578528405,29.2928542239
İçmeler,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,Metro,40.8450693106,29.2996849242
Sabiha Gökçen,M4 Kadıköy - SGH Metro Hattı,Metro,40.9065447646,29.3114239088
Kurtköy,M4 Kadıköy - SGH Metro Hattı,Metro,40.9101335948,29.2962830984
Yayalar - Şeyhli,M4 Kadıköy - SGH Metro Hattı,Metro,40.9037407838,29.2751192864
Fevzi Çakmak - Hastane,M4 Kadıköy - SGH Metro Hattı,Metro,40.8886417085,29.2624037531
İmes,M8 Bostancı - Dudullu Metro Hattı,Metro,41.0001481272,29.1562117564
Parseller,M8 Bostancı - Dudullu Metro Hattı,Metro,41.0312433529,29.1526674022
Huzur,M8 Bostancı - Dudullu Metro Hattı,Metro,41.0226344203,29.1595514004
Haznedar,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,41.0046548513,28.8717193568
Malazgirt,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0221022649,28.828203805
Barbaros,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0235201646,28.8365597523
Molla Gürani,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,41.0260454587,28.8478882573
Yıldıztepe,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,41.0193911133,28.8578448457
Fatih,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0284958617,28.8027818409
İncirli,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,40.997791003,28.874947155
Özgürlük Meydanı,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,40.9817353367,28.8740634973
Küçükpazar,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0209082584,28.9633072364
Masko,M9 Bahariye - Olimpiyat Metro Hattı,Metro,41.0640636378,28.8039976708
15 Temmuz,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.036903864,28.8141344326
Çobançeşme - Kuyumcukent,M9 (U1) Ataköy -  Bahariye Hattı,Metro,40.9992732598,28.8226568462
Halkalı Caddesi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.0449675987,28.80672735
Doğu Sanayi,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.0150158062,28.8179826163
Mimar Sinan,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.0251024172,28.8165137276
Yenibosna,M9 (U1) Ataköy -  Bahariye Hattı,Metro,40.9892636065,28.8380437874
Ataköy,M9 (U1) Ataköy -  Bahariye Hattı,Metro,40.979913638,28.8562110538
İhlas Yuva,M9 (U1) Ataköy -  Bahariye Hattı,Metro,41.0061906335,28.8186252974
İçerenköy,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9789845394,29.126424906
Kozyatağı,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9775015583,29.0999002371
Ayşe Kadın,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9667774717,29.0867181509
Bostancı,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9509636456,29.0977225047
Emin Ali Paşa,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9605472642,29.0937084923
Kayışdağı,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9846900159,29.1377306108
Dudullu,M8 Bostancı - Dudullu Metro Hattı,Metro,41.0152325915,29.1632870725
Küçükbakkalköy,M8 Bostancı - Dudullu Metro Hattı,Metro,40.9789184865,29.1117414468
Modoko - Keyap,M8 Bostancı - Dudullu Metro Hattı,Metro,41.0071876376,29.161855314
Kabataş,M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,Metro,41.0335744205,28.9907500553
Atatürk Mahallesi,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0518352309,28.7974872035
Ispartakule,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0622487609,28.7093319731
Hastane,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0561315069,28.7588533017
Tahtakale,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0594321354,28.7259503944
Toplu Konut,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0553154861,28.7862786379
Bahçeşehir,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.064085764,28.6835026611
Tema Park,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.05816462,28.7720939967
Ardıçlı,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0443971342,28.6755757425
Esenkent,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0567580416,28.67076459
Bakırköy İDO,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,40.9736222874,28.8680772574
İlkyuva,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,Metro,41.0116111624,28.8656490726
Halkalı,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0176638112,28.7677107296
Eminönü,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0182506722,28.9700504844
Halkalı,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.0202512735,28.7681738903
Mehmet Akif Ersoy,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0338987921,28.7800124525
Tema Park,Halkalı - Arnavutköy - Yeni Havalimanı Metro Hattı,Metro,41.0565824441,28.7747473321
Kayaşehir Merkez,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.1174078016,28.7657137663
Bezirganbahçe,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0256154131,28.767777836
Olimpiyat,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.0779951936,28.7697519201
Halkalı - Üniversite,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0346806674,28.7896032792
Yenidoğan,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0330831515,28.7710927915
Fenertepe,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.1394899577,28.7951065961
Arnavutköy -2,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.2069599862,28.7159766816
Arnavutköy - 1,M11 Halkalı - İstanbul Havalimanı Metro Hattı,Metro,41.1791811595,28.7464186818
Mimar Sinan,M1B (U2) Kirazlı - Halkalı Metro Hattı,Metro,41.0250630721,28.8165798652
Onurkent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.1133556519,28.7904528718
Şehir Hastanesi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.103310128,28.7778792943
Toplu Konutlar,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.1073954459,28.7678710416
Kayaşehir Merkez,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.1195507427,28.7665088663
Göztepe 60. Yıl Parkı,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9696400909,29.0566476314
Çarşı,M12 Göztepe-Ümraniye Metro Hattı,Metro,41.026945029,29.0969701242
Atakent,M12 Göztepe-Ümraniye Metro Hattı,Metro,41.0160294361,29.1018263781
Yeni Sahra,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9849381944,29.0921391422
Finans Merkezi,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9993002306,29.1108510159
Sahrayıcedit,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9799539217,29.077135021
SBÜ Hastanesi,M12 Göztepe-Ümraniye Metro Hattı,Metro,41.0305156614,29.1019676058
Site,M12 Göztepe-Ümraniye Metro Hattı,Metro,41.0083402239,29.1129046309
Ataşehir,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9906374128,29.104065695
Göztepe,M12 Göztepe-Ümraniye Metro Hattı,Metro,40.9783502001,29.0662896028
Kazım Karabekir,M12 Göztepe-Ümraniye Metro Hattı,Metro,41.0427284001,29.0987977614
Bölge Parkı,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,Metro,41.0560767788,28.8136035851
Feshane,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0455174821,28.9379603124
