ISTASYON,PROJE_ADI,HAT_TURU,lat,lon
Bayrampaşa,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.034096046,28.9202426412
Eyüpsultan Teleferik,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0504706073,28.9351655775
İTÜ Ayazağa,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.1080929067,29.0207987305
Yenikapı,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.005588975,28.9504763048
Damga Sk.,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9884331596,29.020752372
Gayrettepe,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0689993628,29.0109240486
Edirnekapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0314391067,28.9339749517
Kabataş,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0342600076,28.9925196278
Kabataş,F1 Taksim - Kabataş Füniküler Hattı,Füniküler,41.0339800289,28.9920304059
Rami,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0466419975,28.915524597
Ali Fuat Başgil,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0685637951,28.8954815845
Yenibosna,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9893132336,28.8367082249
Mahmutbey,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.0548941972,28.8305389157
Aksaray,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0095921116,28.9538638023
Uluyol-Bereç,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0541363716,28.9102501142
Hacı Şükrü,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0928320034,28.864009196
Cebeci,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.111919952,28.8578112
Üniversite-Laleli,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0095852413,28.9597904528
Yunus,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8845046267,29.2105353314
Pendik,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8802067715,29.2316720558
Karadeniz Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0811903035,28.8750662124
Çakmak,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0215409985,29.1183812217
Kağıthane,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0795639497,28.9733006431
İçmeler,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8456508905,29.3000611747
Mecidiyeköy,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0652301997,28.9953910663
Zeytinburnu,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.985877775,28.9054442225
Bahariye,M9 Bahariye - Olimpiyat Metro Hattı,Metro,41.058395086,28.7993743238
Küçükçekmece,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9885240376,28.7729423261
Florya Akvaryum,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9677662609,28.7970279467
Süreyya Plajı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9268299859,29.1242047148
Çarşı,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9910897361,29.025473107
Darüşşafaka,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.1295804129,29.0251285208
Atatürk Oto Sanayi,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.118255545,29.0241937825
Maltepe,M4 Kadıköy - SGH Metro Hattı,Metro,40.9358193379,29.1395599592
Kilise,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9848860823,29.0275960507
Moda İlkokulu,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9840909558,29.0267349436
Çemberlitaş,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0084351413,28.9711299487
Çapa,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0158815142,28.9320311155
Demirkapı,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0370058895,28.9233777611
Haseki,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0107080395,28.9442967061
Davutpaşa - YTÜ,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0206505824,28.900212216
Yenisahra,M4 Kadıköy - SGH Metro Hattı,Metro,40.9847287608,29.0903877924
Taksim,F1 Taksim - Kabataş Füniküler Hattı,Füniküler,41.0366106262,28.986995331
Sultanahmet,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.008087187,28.975587398
Vatan,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0256928527,28.9293599063
Bakırköy,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,40.9966103583,28.8754036789
Hacıosman,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.1397726671,29.0304364747
Vezneciler - İstanbul Ünv.,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.0122648278,28.9598347809
Yeni Mahalle,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Metro,41.0403554341,28.8359418382
Bağcılar,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0330845374,28.8606511837
Mescid-i Selam,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.11621368,28.8512631642
Haliç,M2 Yenikapı Seyrantepe - Hacıosman Metro Hattı,Metro,41.022434782,28.9664222621
Bostancı,M4 Kadıköy - SGH Metro Hattı,Metro,40.9645784145,29.1053503103
Ümraniye,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0246243207,29.0847807184
Tavşantepe,M4 Kadıköy - SGH Metro Hattı,Metro,40.882088389,29.2488374197
Kazım Karabekir,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0853738983,28.9083979482
Ataköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9802159969,28.8562244497
Fıstık Ağacı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0282537069,29.028844655
Veysel Karani  - Akşemsettin,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0796856699,28.9281017456
Üsküdar,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,41.0256996122,29.0135223765
Bağlarbaşı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0219145673,29.0364140056
Yeşilköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.962652581,28.8248930566
Maltepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9206463836,29.1335259971
Yenimahalle,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0838545405,28.8926872572
Küçükyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9462573976,29.1068216034
Florya,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9729608799,28.7874733117
Ayrılık Çeşmesi,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,41.0000768042,29.0301236137
Fındıklı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0314532963,28.9894418022
Karaköy,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0221147392,28.9746879491
Seyitnizam,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0078444838,28.9093460025
Soğanlı,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0209671886,28.8670836783
Kozyatağı,M4 Kadıköy - SGH Metro Hattı,Metro,40.9752225,29.0996930943
