population,neighborhood,township,neighborhood_id,latitude,longitude
14180,Ataköy 2-5-6. Kısım,Bakırköy,5,40.978111428237085,28.854881912279502
7672,Ataköy 3-4-11. Kısım,Bakırköy,4,40.98318069485092,28.85937977477002
26506,Ataköy 7-8-9-10. Kısım,Bakırköy,8,40.98753899850415,28.844149173191624
5940,Basınköy,Bakırköy,40200,40.97830475153012,28.78222274242012
5108,Cevizlik,Bakırköy,40192,40.97755167162659,28.87654058125782
34866,Kartaltepe,Bakırköy,40197,40.98845800778056,28.875416827646614
22495,Osmaniye,Bakırköy,40188,40.99530337857931,28.883160774303843
8557,Sakızağacı,Bakırköy,40191,40.97812488247376,28.88376113954859
27991,Şenlikköy,Bakırköy,40199,40.97433195524524,28.796395242461067
6328,Yenimahalle,Bakırköy,40190,40.98033028330061,28.88129644940865
24958,Yeşilköy,Bakırköy,40189,40.95837144752673,28.822030096305625
8393,Yeşilyurt,Bakırköy,40195,40.9673653135406,28.84266071060774
5097,Zeytinlik,Bakırköy,40193,40.97643638736268,28.87381037280222
20229,Zuhuratbaba,Bakırköy,40198,40.9896090933505,28.864566343030194
26909,Altınşehir,Başakşehir,40598,41.067651240748155,28.752056103217058
37332,Bahçeşehir 1. Kısım,Başakşehir,40871,41.091844944548534,28.67946256616869
61602,Bahçeşehir 2. Kısım,Başakşehir,40872,41.074189131112554,28.67621765560798
70658,Başak,Başakşehir,40357,41.10805022339095,28.80721480696483
71244,Başakşehir,Başakşehir,40581,41.10667312426444,28.78580407027429
76217,Güvercintepe,Başakşehir,40597,41.08119022483429,28.752008389216975
112367,Kayabaşı,Başakşehir,40583,41.12378006491627,28.770144639796246
31567,Şahintepe,Başakşehir,40584,41.07663788144915,28.72634305046773
31210,Ziya Gökalp,Başakşehir,40585,41.07803187015131,28.784180087278312
28855,Altıntepsi,Bayrampaşa,40207,41.03895719413614,28.89843655208926
18555,Cevatpaşa,Bayrampaşa,40203,41.07131852189855,28.883215113135677
14710,İsmet Paşa,Bayrampaşa,40209,41.04290540949909,28.90635649844881
43124,Kartaltepe,Bayrampaşa,40211,41.05577104024169,28.90194628020297
20414,Kocatepe,Bayrampaşa,40212,41.05285942286894,28.895010777162287
32944,Muratpaşa,Bayrampaşa,40213,41.048757314448956,28.907080160885002
15180,Orta,Bayrampaşa,40204,41.03346237125685,28.914496684737387
15206,Terazidere,Bayrampaşa,40206,41.03214458970315,28.90131361883427
9339,Vatan,Bayrampaşa,40205,41.033315026060414,28.906986770753853
17941,Yenidoğan,Bayrampaşa,40208,41.037884347954844,28.9148262260334
52035,Yıldırım,Bayrampaşa,40210,41.06487330862576,28.893082176509356
4157,Abbasağa,Beşiktaş,40219,41.04972047818057,29.00521625909106
12328,Akat,Beşiktaş,40234,41.08581112028864,29.026668787380604
3409,Arnavutköy,Beşiktaş,40231,41.06892857494464,29.038421099817427
2915,Balmumcu,Beşiktaş,40223,41.05854463238392,29.014367436426962
5300,Bebek,Beşiktaş,40232,41.07785390878513,29.040784126749713
3521,Cihannüma,Beşiktaş,40217,41.046755907069475,29.00783963160657
14787,Dikilitaş,Beşiktaş,40221,41.0554446640246,29.0045826080339
10419,Etiler,Beşiktaş,40233,41.08454995159396,29.037008424328526
12786,Gayrettepe,Beşiktaş,40222,41.062562934103404,29.005950462572397
15878,Konaklar,Beşiktaş,40236,41.09183545969195,29.012616986176834
4435,Kültür,Beşiktaş,40229,41.07270397699568,29.033011518558915
2787,Kuruçeşme,Beşiktaş,40228,41.06193193538835,29.03476268188962
6017,Levazım,Beşiktaş,40226,41.06242366956643,29.01981195719205
2766,Levent,Beşiktaş,40235,41.08138354649191,29.0170309748895
9710,Mecidiye,Beşiktaş,40224,41.05113507422575,29.021824636819105
4505,Muradiye,Beşiktaş,40216,41.048174849440635,28.99913390455319
10943,Nisbetiye,Beşiktaş,40230,41.07240082918629,29.022036608317073
9121,Ortaköy,Beşiktaş,40225,41.054825555668415,29.027536079036405
2162,Sinanpaşa,Beşiktaş,40215,41.04295176856919,29.004587295034938
9615,Türkali,Beşiktaş,40218,41.04653717593639,29.00224144587794
6761,Ulus,Beşiktaş,40227,41.06469728716146,29.027400311448982
8337,Vişnezade,Beşiktaş,40214,41.041741971223956,28.999226515702865
4605,Yıldız,Beşiktaş,40220,41.04626509265381,29.01281631963652
8915,Acarlar,Beykoz,40250,41.11241394826501,29.128214710167725
2695,Akbaba,Beykoz,191701,41.15122482857436,29.115168319267877
2499,Anadolu Hisarı,Beykoz,40243,41.08616638664295,29.071508785307284
3181,Baklacı,Beykoz,40257,41.066459356234624,29.157955355689925
6133,Çamlıbahçe,Beykoz,40253,41.14815312262632,29.083770877364056
5414,Çengeldere,Beykoz,40258,41.09617925925065,29.14463295385226
5740,Çiftlik,Beykoz,40259,41.08160046448818,29.146478152242807
10888,Çiğdem,Beykoz,40240,41.110060267341645,29.094299147799617
20302,Çubuklu,Beykoz,40241,41.102480394431545,29.086577330000285
3122,Elmalı,Beykoz,191711,41.138892038352076,29.12975720270901
4251,Fatih,Beykoz,40260,41.08951509681103,29.12221709706073
2320,Göksu,Beykoz,40244,41.077240957126044,29.071395600085538
2070,Görele,Beykoz,191713,41.109559287660126,29.147522836362047
9388,Göztepe,Beykoz,40246,41.08041406961307,29.080783795243427
12996,Gümüşsuyu,Beykoz,40237,41.12729501436405,29.104631422538873
16602,İncirköy,Beykoz,40238,41.118377070052134,29.104678228111176
3819,Kanlıca,Beykoz,40242,41.09970306144988,29.071612901774067
22138,Kavacık,Beykoz,40247,41.08947659076845,29.08275138329815
5819,Merkez,Beykoz,40251,41.137266996577615,29.095328991775744
4299,Örnekköy,Beykoz,191721,41.14199705535966,29.150354004439112
7754,Ortaçeşme,Beykoz,40254,41.145829994461465,29.091420425354222
3677,Paşabahçe,Beykoz,40239,41.11434894639866,29.093653695271552
3555,Riva,Beykoz,191707,41.22536447715039,29.222489005205244
7852,Rüzgarlıbahçe,Beykoz,40248,41.0974795180017,29.099108739630275
10796,Soğuksu,Beykoz,40249,41.1118582198575,29.11084054980904
