




|İstanbul(Avcılar/Avcılar Bel./Ambarlı Mah.)-40146|34420.0|
|İstanbul(Avcılar/Avcılar Bel./Cihangir Mah.)-40148|61666.0|
|İstanbul(Avcılar/Avcılar Bel./Denizköşkler Mah.)-40147|40028.0|
|İstanbul(Avcılar/Avcılar Bel./Firuzköy Mah.)-40152|23842.0|
|İstanbul(Avcılar/Avcılar Bel./Gümüşpala Mah.)-40151|36640.0|
|İstanbul(Avcılar/Avcılar Bel./Merkez Mah.)-40145|27127.0|
|İstanbul(Avcılar/Avcılar Bel./Mustafa Kemalpaşa Mah.)-40150|45213.0|
|İstanbul(Avcılar/Avcılar Bel./Tahtakale Mah.)-40154|66752.0|
|İstanbul(Avcılar/Avcılar Bel./Üniversite Mah.)-40149|29932.0|
|İstanbul(Avcılar/Avcılar Bel./Yeşilkent Mah.)-40153|75314.0|
|İstanbul(Bağcılar/Bağcılar Bel./100. Yıl Mah.)-40176|45610.0|
|İstanbul(Bağcılar/Bağcılar Bel./15 Temmuz Mah.)-40169|50175.0|
|İstanbul(Bağcılar/Bağcılar Bel./Bağlar Mah.)-40155|16993.0|
|İstanbul(Bağcılar/Bağcılar Bel./Barbaros Mah.)-40157|20085.0|
|İstanbul(Bağcılar/Bağcılar Bel./Çınar Mah.)-40163|32974.0|
|İstanbul(Bağcılar/Bağcılar Bel./Demirkapı Mah.)-40171|54498.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fatih Mah.)-40172|40177.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fevzi Çakmak Mah.)-40173|32364.0|
|İstanbul(Bağcılar/Bağcılar Bel./Göztepe Mah.)-40175|40585.0|
|İstanbul(Bağcılar/Bağcılar Bel./Güneşli Mah.)-40168|44823.0|
|İstanbul(Bağcılar/Bağcılar Bel./Hürriyet Mah.)-40156|25376.0|
|İstanbul(Bağcılar/Bağcılar Bel./İnönü Mah.)-40159|22714.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kazım Karabekir Mah.)-40158|26664.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kemalpaşa Mah.)-40174|31892.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kirazlı Mah.)-40166|39528.0|
|İstanbul(Bağcılar/Bağcılar Bel./Mahmutbey Mah.)-40170|25326.0|
|İstanbul(Bağcılar/Bağcılar Bel./Merkez Mah.)-40162|26835.0|
|İstanbul(Bağcılar/Bağcılar Bel./Sancaktepe Mah.)-40164|19196.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yavuz Selim Mah.)-40165|27178.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yenigün Mah.)-40161|20790.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yenimahalle Mah.)-40167|33927.0|
|İstanbul(Bağcılar/Bağcılar Bel./Yıldıztepe Mah.)-40160|35884.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Bahçelievler Mah.)-40177|57559.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Çobançeşme Mah.)-40184|30609.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Cumhuriyet Mah.)-40181|38835.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Fevzi Çakmak Mah.)-40185|23271.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Hürriyet Mah.)-40187|44511.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Kocasinan Merkez Mah.)-40182|70475.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Şirinevler Mah.)-40178|53894.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Siyavuşpaşa Mah.)-40179|60059.0|
|İstanbul(Bahçelievler/Bahçelievler Bel./Soğanlı Mah.)-40180|65254.0|
